Domain,Area,Item,Item Code (CPC),Year,Area_Harvested_in_Hectares,Yield_Value in kg/ha,Producing Animals/Slaughtered_Value,Laying_Value,Yield/Carcass Weight_Value,Milk Animals_Value,Production in Hectares
Crops and livestock products,Afghanistan,Maize (corn),112.0,2023,127000.0,2858.3,0.0,0.0,0.0,0.0,363000.0
Crops and livestock products,Afghanistan,"Meat of camels, fresh or chilled",21117.01,2019,0.0,0.0,20230.0,0.0,1800.0,0.0,3641.42
Crops and livestock products,Afghanistan,"Meat of camels, fresh or chilled",21117.01,2020,0.0,0.0,20266.0,0.0,1800.0,0.0,3647.96
Crops and livestock products,Afghanistan,"Meat of camels, fresh or chilled",21117.01,2021,0.0,0.0,20366.0,0.0,1800.0,0.0,3665.81
Crops and livestock products,Afghanistan,"Meat of camels, fresh or chilled",21117.01,2022,0.0,0.0,20401.0,0.0,1800.0,0.0,3672.2
Crops and livestock products,Afghanistan,"Meat of camels, fresh or chilled",21117.01,2023,0.0,0.0,20435.0,0.0,1800.0,0.0,3678.38
Crops and livestock products,Afghanistan,"Meat of cattle with the bone, fresh or chilled",21111.01,2019,0.0,0.0,625556.0,0.0,1423.0,0.0,89006.91
Crops and livestock products,Afghanistan,"Meat of cattle with the bone, fresh or chilled",21111.01,2020,0.0,0.0,607512.0,0.0,1459.0,0.0,88624.27
Crops and livestock products,Afghanistan,"Meat of cattle with the bone, fresh or chilled",21111.01,2021,0.0,0.0,571619.0,0.0,1431.0,0.0,81784.56
Crops and livestock products,Afghanistan,"Meat of cattle with the bone, fresh or chilled",21111.01,2022,0.0,0.0,532738.0,0.0,1438.0,0.0,76582.55
Crops and livestock products,Afghanistan,"Meat of cattle with the bone, fresh or chilled",21111.01,2023,0.0,0.0,492797.0,0.0,1447.0,0.0,71330.38
Crops and livestock products,Afghanistan,"Meat of chickens, fresh or chilled",21121.0,2019,0.0,0.0,32381.0,0.0,8548.0,0.0,27680.53
Crops and livestock products,Afghanistan,"Meat of chickens, fresh or chilled",21121.0,2020,0.0,0.0,32957.0,0.0,8652.0,0.0,28512.87
Crops and livestock products,Afghanistan,"Meat of chickens, fresh or chilled",21121.0,2021,0.0,0.0,33759.0,0.0,8356.0,0.0,28210.69
Crops and livestock products,Afghanistan,"Meat of chickens, fresh or chilled",21121.0,2022,0.0,0.0,33792.0,0.0,8435.0,0.0,28503.14
Crops and livestock products,Afghanistan,"Meat of chickens, fresh or chilled",21121.0,2023,0.0,0.0,34270.0,0.0,8403.0,0.0,28796.08
Crops and livestock products,Afghanistan,"Meat of goat, fresh or chilled",21116.0,2019,0.0,0.0,3567060.0,0.0,130.0,0.0,46381.69
